Sample	CK_0d	CK_1d	CK_7d	CK_21d	CK_56d	CIP_A_0d	CIP_A_1d	CIP_A_7d	CIP_A_21d	CIP_A_56d	CIP_B_0d	CIP_B_1d	CIP_B_7d	CIP_B_21d	CIP_B_56d	CIP_C_0d	CIP_C_1d	CIP_C_7d	CIP_C_21d	CIP_C_56d	CIP_D_0d	CIP_D_1d	CIP_D_7d	CIP_D_21d	CIP_D_56d	TCS_A_0d	TCS_A_1d	TCS_A_7d	TCS_A_21d	TCS_A_56d	TCS_B_0d	TCS_B_1d	TCS_B_7d	TCS_B_21d	TCS_B_56d	TCS_C_0d	TCS_C_1d	TCS_C_7d	TCS_C_21d	TCS_C_56d	TCS_D_0d	TCS_D_1d	TCS_D_7d	TCS_D_21d	TCS_D_56d	CU_A_0d	CU_A_1d	CU_A_7d	CU_A_21d	CU_A_56d	CU_B_0d	CU_B_1d	CU_B_7d	CU_B_21d	CU_B_56d	CU_C_0d	CU_C_1d	CU_C_7d	CU_C_21d	CU_C_56d	CU_D_0d	CU_D_1d	CU_D_7d	CU_D_21d	CU_D_56d	TCS_CU_0d	TCS_CU_1d	TCS_CU_7d	TCS_CU_21d	TCS_CU_56d	CIP_TCS_0d	CIP_TCS_1d	CIP_TCS_7d	CIP_TCS_21d	CIP_TCS_56d	CIP_CU_0d	CIP_CU_1d	CIP_CU_7d	CIP_CU_21d	CIP_CU_56d	CIP_TCS_CU_0d	CIP_TCS_CU_1d	CIP_TCS_CU_7d	CIP_TCS_CU_21d	CIP_TCS_CU_56d	type	sum
polymyxin__mcr-5	3.27E-05	3.42E-05	7.48E-05	8.44E-05	3.24E-05	5.80E-05	3.59E-05	0	6.44E-05	2.71E-05	1.05E-04	1.01E-04	3.29E-05	5.06E-05	0	1.36E-04	1.25E-05	7.09E-05	4.05E-05	0	3.58E-05	2.08E-05	0	6.90E-05	0	1.20E-04	4.40E-05	2.84E-05	5.84E-05	1.07E-04	2.78E-05	3.28E-05	1.47E-05	3.48E-04	1.29E-04	8.94E-05	0	1.36E-04	0.001	0.001	1.97E-04	6.38E-06	0.002	1.15E-04	0.002	8.75E-05	1.77E-04	1.33E-05	2.56E-05	3.69E-05	3.86E-05	8.12E-05	9.95E-06	9.73E-05	4.46E-05	8.95E-05	0.001	2.30E-04	9.10E-05	1.21E-04	9.71E-06	5.06E-05	0.005	4.61E-04	4.50E-05	0	4.92E-05	0.002	6.02E-05	0	2.54E-05	0	0	0	1.99E-05	2.56E-04	2.57E-04	0.001	2.93E-04	0	6.22E-05	3.44E-05	2.91E-05	1.89E-05	7.75E-06	polymyxin	0.02039559
aminoglycoside__aac(3)-IIIa	0	3.04E-05	8.96E-06	6.35E-06	0	0	1.64E-05	2.16E-05	0	1.30E-05	0	0	0	0	0	0	0	1.57E-05	0	5.08E-05	2.40E-05	0	7.43E-05	0	0	0	0	0	0	0	0	1.97E-05	0	1.78E-05	0	0	0	3.65E-05	3.81E-05	0	0	0	5.51E-05	1.24E-04	0	1.03E-05	0	6.20E-05	0	0	0	0	0	3.07E-04	0	0	2.30E-05	3.61E-04	0.001	3.06E-04	0	0	2.12E-05	0.001	0.006	0	0	0	0	0.001	0	0	0.004	0.001	0.001	0	0	0	0.001	0.002	0	0	7.76E-05	0	1.07E-04	aminoglycoside	0.01982781
tetracycline__tet39	7.53E-05	9.25E-06	0	0	0	0.001	0	0	0	0	3.08E-04	0.015	1.72E-04	1.17E-04	0	1.60E-04	4.37E-04	0	0	0	2.23E-04	0.001	0	0	0	0	0	4.09E-05	0	0	0	1.67E-04	0	0	0	0	2.03E-05	0	0	0	0	1.80E-05	0	0.001	3.32E-05	0	3.07E-05	0	0	0	2.08E-05	3.16E-05	0	0	0	9.61E-06	0	0	0	3.87E-05	0	0	0	6.87E-06	6.02E-05	0	0	0	0	4.60E-04	1.02E-04	0	0	0	0	0	0	0	0	6.06E-05	0	0	0	0	1.25E-04	tetracycline	0.02072703
beta-lactam__OXA-114	0	0	1.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59E-04	0.017	0	0	0	2.86E-04	0	0	0	0	0	0	0	0	0	3.97E-04	7.37E-05	2.08E-05	beta-lactam	0.0179547
beta-lactam__OXA-3	1.57E-05	1.07E-05	6.58E-06	0	1.08E-05	2.32E-05	4.04E-05	0	2.96E-05	0	3.11E-05	4.72E-05	1.99E-05	1.73E-04	2.24E-04	2.51E-05	4.13E-05	3.78E-04	0.001	1.55E-04	0	8.26E-05	0	1.66E-04	0.002	7.58E-05	0	3.81E-05	0	0	6.34E-05	0	0	0	0	1.95E-05	0	0	0.001	0	5.10E-05	0	0.002	0	0	9.61E-06	2.16E-04	0	0	1.19E-05	1.03E-04	8.04E-05	8.75E-05	0.002	0.001	1.53E-04	0	0	2.33E-04	0.001	0	0	0	1.63E-05	0.005	2.77E-05	0	0	0	0	1.28E-05	0	0	0	0	3.29E-04	2.40E-05	2.76E-04	0.001	4.70E-05	0	0	0	0	0	beta-lactam	0.01935519
multidrug__emrA	1.16E-05	1.21E-05	5.57E-05	2.77E-05	8.18E-05	4.54E-05	1.90E-05	3.29E-04	3.37E-04	1.86E-05	4.18E-05	6.14E-05	1.75E-04	2.28E-05	2.66E-05	3.58E-05	8.61E-05	9.49E-05	7.76E-06	4.59E-05	0	3.62E-05	0.003	0.001	7.17E-06	1.96E-05	6.01E-06	1.03E-05	1.84E-05	0	1.05E-05	4.82E-05	3.02E-05	7.42E-05	8.02E-06	1.59E-05	8.70E-05	2.76E-05	6.85E-05	9.47E-06	0	1.15E-05	4.55E-05	6.15E-05	1.71E-05	7.21E-06	4.60E-05	0	7.75E-05	3.46E-05	3.14E-05	1.53E-04	2.64E-04	7.32E-05	5.62E-05	0	6.74E-05	9.08E-05	1.82E-05	0	1.98E-05	1.08E-05	4.33E-04	3.62E-05	7.09E-05	1.83E-05	0	0.001	0.002	1.10E-04	7.57E-05	0	0.001	7.70E-05	0	7.88E-05	0	0.002	2.23E-05	9.00E-05	1.05E-04	0	0.003	1.23E-04	9.82E-05	multidrug	0.01743734
fosfomycin__fosX	1.09E-05	3.99E-05	9.97E-06	0	3.64E-05	0	9.95E-05	0	2.41E-05	0	0	0	0	0	8.55E-05	0	0	0	0	0	0	0	0	0.005	4.04E-05	3.84E-05	0	0	0	0	0	8.61E-05	0	1.42E-04	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-04	0	0	7.03E-05	1.23E-04	0	2.91E-05	1.46E-04	3.67E-05	2.89E-05	5.81E-05	0	0	5.95E-05	0	2.63E-05	1.15E-04	0	0	1.97E-05	0	1.43E-04	3.70E-05	0	2.27E-05	0	0	0	0	2.86E-05	0	0	3.15E-05	0.001	1.47E-04	0	0.009	0.001	2.45E-04	fosfomycin	0.01808257
beta-lactam__OXA-12	2.98E-04	3.56E-04	1.03E-04	4.56E-05	5.66E-05	0.001	1.06E-04	3.58E-05	3.28E-05	4.64E-04	0.001	0	0	3.16E-04	1.72E-04	0.001	0	0	1.62E-05	1.31E-04	1.20E-04	0	0	0	0	0	9.04E-05	1.77E-05	2.10E-04	5.30E-05	0.001	2.35E-04	4.68E-05	0	1.35E-05	3.26E-04	0	4.29E-04	1.16E-04	0	1.55E-05	3.34E-04	0.001	0	8.28E-05	0	4.01E-04	4.50E-04	1.06E-04	0	0.001	7.00E-05	2.23E-04	1.15E-05	0	2.60E-04	3.28E-04	0	0	1.95E-05	1.08E-04	0.001	4.23E-04	3.15E-05	0	7.34E-05	0.002	0.001	0	0	0	3.47E-05	0	0	0.001	1.83E-04	0	0	0	0	3.05E-04	0	0	0	0	beta-lactam	0.0182503
beta-lactam__class C beta-lactamase	4.89E-04	1.59E-04	1.12E-05	1.59E-04	9.03E-05	0.001	7.43E-05	1.53E-04	3.14E-04	3.02E-04	0.001	1.40E-04	2.50E-05	1.81E-04	1.19E-04	0.001	0	3.38E-05	0	1.64E-05	1.75E-05	4.46E-05	0	0	0	0	7.35E-05	2.47E-05	5.54E-05	4.44E-05	0.001	2.52E-04	4.94E-05	1.21E-04	0	9.54E-05	1.80E-05	1.40E-04	1.86E-05	0	2.14E-05	2.84E-04	1.16E-04	1.98E-05	8.39E-05	1.48E-04	2.48E-04	3.71E-04	0	0	2.60E-04	1.44E-04	1.99E-04	0	0	1.46E-04	0.001	4.50E-05	3.05E-05	5.49E-05	7.24E-05	0.001	1.97E-04	1.65E-05	0	2.24E-05	0.002	0.001	4.16E-05	0	0	0	0	2.71E-05	0.001	0	0	0	4.59E-04	1.59E-05	2.85E-04	0	1.25E-05	0	0	beta-lactam	0.0165424
polymyxin__mcr-3	1.53E-04	2.19E-04	1.00E-04	5.52E-05	1.34E-04	0.001	1.56E-04	3.93E-05	1.06E-04	0.001	0.001	0	0	2.96E-05	2.61E-05	3.92E-04	0	0	0	2.73E-05	2.33E-04	0	0	0	0	5.65E-06	5.69E-05	3.45E-05	2.53E-05	0	0.002	4.40E-04	1.14E-04	1.64E-05	1.00E-05	1.30E-04	1.00E-04	2.14E-04	1.31E-05	4.18E-05	1.56E-05	3.73E-04	2.48E-04	5.35E-05	1.08E-04	1.63E-04	0.001	0.001	3.78E-05	1.66E-05	4.71E-04	1.59E-04	1.09E-04	1.43E-05	8.66E-05	1.83E-05	4.63E-04	7.41E-05	0	1.25E-04	1.38E-05	0.001	0.001	1.04E-04	7.64E-06	2.84E-05	0.001	3.65E-04	0	0	4.51E-05	1.82E-05	0	0	2.66E-04	6.81E-05	0	0	0	0	2.05E-04	3.22E-05	0	0	0	polymyxin	0.01656139
vancomycin__vanR	5.97E-05	6.01E-05	5.68E-05	4.85E-05	1.54E-04	2.11E-05	1.12E-04	1.10E-04	3.91E-05	2.57E-04	2.57E-05	1.34E-04	6.86E-05	4.23E-05	0	4.56E-05	3.73E-05	8.87E-05	4.04E-04	2.11E-05	0	3.39E-05	7.22E-05	5.80E-05	0	8.78E-05	1.52E-04	1.76E-04	3.47E-05	0	4.55E-05	7.62E-05	5.21E-05	3.39E-05	9.58E-06	1.57E-04	3.12E-05	4.67E-05	3.68E-05	5.46E-05	5.80E-05	1.81E-05	4.62E-05	3.93E-04	1.05E-04	8.01E-05	1.11E-04	1.38E-04	1.98E-05	1.44E-05	0	6.43E-05	0	1.12E-04	6.93E-05	4.53E-05	7.40E-05	0	0	0	1.72E-04	6.43E-05	5.08E-05	0	0	5.26E-05	0	5.16E-05	5.88E-05	0	0	3.55E-05	0.008	3.67E-04	1.75E-04	0	0	0	1.71E-05	0	2.63E-05	7.38E-05	0	0	3.85E-05	vancomycin	0.01347558
multidrug__cmeB	1.81E-04	6.90E-05	3.90E-05	3.15E-05	1.92E-04	1.95E-04	1.42E-04	9.29E-05	5.24E-05	1.00E-04	2.13E-04	3.49E-05	9.30E-05	7.02E-05	2.23E-04	1.44E-04	1.48E-05	8.00E-05	1.34E-04	2.39E-04	1.89E-04	1.67E-05	7.30E-06	1.43E-04	2.04E-04	2.37E-04	2.49E-05	9.26E-05	5.35E-05	2.02E-04	1.32E-04	2.37E-05	6.53E-05	1.09E-04	1.79E-04	1.56E-04	4.16E-05	1.33E-04	5.94E-05	3.42E-05	1.74E-04	3.93E-05	2.56E-04	4.87E-05	2.67E-04	1.02E-04	8.28E-05	6.86E-05	1.07E-04	8.91E-05	1.20E-04	1.17E-04	2.79E-04	2.58E-04	8.05E-05	1.79E-04	3.58E-04	3.33E-04	3.90E-04	3.01E-04	3.71E-05	2.65E-04	0.001	2.92E-05	9.69E-05	1.86E-04	2.32E-04	0.001	0.001	3.25E-04	4.18E-05	3.01E-05	0.001	9.98E-05	1.23E-04	1.49E-04	2.90E-05	4.54E-05	8.16E-05	6.44E-05	1.10E-04	1.19E-04	2.60E-05	4.21E-05	5.37E-05	multidrug	0.01428
beta-lactam__class B beta-lactamase	3.82E-04	2.58E-04	7.58E-05	7.96E-05	1.28E-04	0.001	2.71E-04	0	6.86E-05	2.21E-04	0.001	2.48E-05	0	1.05E-04	1.19E-04	0.001	0	0	0	0	2.64E-05	0	0	0	0	0	6.85E-05	9.28E-05	9.05E-05	2.33E-05	0.001	1.60E-04	1.43E-04	0	4.33E-05	1.38E-04	1.46E-04	7.35E-05	7.85E-05	0	4.24E-05	6.69E-05	2.50E-04	0	1.49E-05	1.30E-04	0.001	3.12E-04	5.44E-05	2.06E-05	3.20E-04	2.27E-04	1.57E-04	1.67E-05	8.16E-05	1.18E-04	2.10E-04	9.01E-05	4.76E-05	0	4.39E-05	2.37E-04	1.97E-04	3.57E-05	0	3.96E-05	0.001	0.001	4.08E-05	0	0	0	0	0	1.61E-04	7.80E-05	0	0	0	0	2.75E-04	0	1.23E-04	0	0	beta-lactam	0.0132068
multidrug__mdtD	0	9.30E-06	3.61E-06	2.66E-06	6.28E-06	0	0	6.87E-06	3.12E-05	8.22E-06	9.42E-06	5.18E-05	0	0	0	0	9.46E-06	1.05E-04	2.70E-05	0	0	0	8.65E-05	1.64E-05	0	0	7.04E-06	0	4.46E-06	0	0	0	0	0	0	0	2.47E-05	0	0	0	6.92E-06	0	0	0	0	0	2.00E-05	0	4.78E-06	0	0	0	3.93E-05	1.04E-04	0	7.55E-06	3.17E-05	1.89E-04	0	8.72E-06	1.48E-05	4.23E-05	0.001	0.001	2.41E-04	0	0	0.002	0.002	8.23E-05	0	0	0	0	0	0	0	0.004	0.001	3.64E-05	0	3.70E-05	7.42E-06	1.51E-05	0	multidrug	0.01229821
multidrug__adeJ	1.28E-05	2.29E-06	1.31E-04	0	1.38E-05	1.60E-04	0	0	0	0	6.22E-06	0.002	3.65E-05	3.93E-05	2.39E-05	3.78E-05	2.45E-04	4.77E-05	8.69E-05	2.85E-06	1.11E-05	8.06E-06	0.001	0.001	1.77E-05	3.34E-05	0	0	4.85E-06	0	6.45E-06	4.33E-05	0	0	1.34E-05	4.21E-06	0	1.40E-05	7.05E-06	0	0	2.19E-05	0	7.41E-05	0	3.95E-06	9.58E-06	0	0	0	8.49E-05	3.80E-06	1.47E-05	5.99E-05	6.15E-06	8.32E-06	1.38E-05	9.58E-05	4.39E-05	3.28E-06	2.36E-05	0	8.81E-05	2.36E-05	1.30E-05	1.54E-05	2.07E-05	2.22E-05	0	5.74E-05	0	0	4.78E-04	2.44E-04	7.77E-05	0	0	0.002	5.23E-05	2.45E-04	0	9.85E-05	0.002	3.37E-04	4.02E-04	multidrug	0.01165216
kasugamycin__kasugamycin resistance protein ksgA	9.09E-05	9.71E-05	2.17E-05	5.95E-05	4.61E-05	1.99E-04	3.92E-05	1.75E-04	3.96E-04	8.55E-05	2.82E-04	2.01E-04	2.39E-05	0	2.08E-05	5.26E-05	2.02E-05	1.10E-04	1.39E-05	1.07E-05	1.63E-04	0	0	1.93E-05	0	2.84E-05	2.48E-05	0	3.08E-05	7.57E-05	2.72E-04	5.89E-05	1.15E-04	7.55E-05	0	1.17E-04	9.32E-05	1.04E-04	8.73E-05	2.21E-05	1.63E-05	8.12E-05	3.27E-04	7.94E-05	1.14E-04	0	1.95E-04	4.88E-05	8.92E-05	6.85E-05	1.63E-05	3.01E-05	3.78E-04	6.12E-05	4.97E-05	1.06E-04	3.13E-04	3.69E-04	1.92E-05	2.64E-05	1.23E-05	9.40E-05	0.002	1.13E-04	1.55E-05	0	2.78E-04	0.001	6.75E-05	0	0	0	0	0	1.13E-04	3.75E-05	0	3.82E-05	8.11E-05	0	9.19E-05	0	1.23E-05	0	0	kasugamycin	0.0095747
multidrug__mdtF	2.60E-05	1.99E-05	3.29E-05	2.77E-05	5.13E-05	1.25E-04	1.02E-04	5.13E-05	6.93E-05	4.69E-05	9.70E-05	1.28E-05	3.72E-05	3.00E-05	3.08E-05	2.82E-05	4.73E-05	1.73E-04	1.36E-05	1.92E-05	4.18E-05	1.40E-05	1.17E-04	6.52E-05	5.91E-05	3.83E-06	2.17E-05	2.51E-05	7.85E-05	1.72E-05	9.77E-05	1.97E-05	2.18E-05	5.70E-05	5.39E-05	3.14E-05	7.27E-06	8.16E-05	2.74E-05	5.57E-06	8.68E-05	2.94E-05	2.62E-05	3.46E-05	2.35E-05	2.43E-05	8.45E-05	9.86E-06	4.99E-05	3.60E-05	4.25E-05	3.98E-05	5.08E-05	1.10E-04	7.60E-05	4.23E-05	1.36E-04	1.34E-04	1.08E-04	7.66E-05	2.27E-05	2.25E-05	0.001	2.87E-04	1.27E-04	2.36E-05	2.92E-05	0.001	0.001	2.23E-04	2.85E-05	4.27E-06	0.001	7.28E-05	6.99E-05	3.81E-05	5.80E-05	0.001	1.84E-04	0.001	3.02E-05	0	0.001	4.84E-05	3.46E-04	multidrug	0.0117244
multidrug__acrF	4.94E-05	1.65E-05	1.48E-05	1.18E-05	1.72E-05	6.41E-05	6.62E-05	2.11E-05	4.88E-05	3.05E-05	3.60E-05	5.85E-05	1.38E-05	1.86E-05	1.00E-05	8.10E-05	8.70E-05	6.65E-05	2.13E-05	3.49E-06	4.41E-05	3.84E-05	0.001	0.001	2.41E-05	4.14E-05	2.58E-05	1.44E-05	1.63E-05	0	1.25E-04	1.37E-05	4.24E-06	2.45E-05	5.31E-06	6.80E-05	4.63E-05	8.38E-06	1.54E-04	7.28E-06	4.97E-05	1.01E-05	4.30E-06	1.24E-05	1.27E-05	3.34E-05	3.47E-05	0	1.80E-05	0	6.03E-05	1.03E-04	3.01E-05	1.30E-04	1.37E-05	3.68E-05	1.62E-04	1.46E-04	7.47E-05	2.17E-05	0	4.90E-05	1.85E-04	4.25E-05	6.59E-05	2.92E-05	0	8.13E-05	0.001	3.15E-05	0	1.77E-05	0.001	4.16E-05	3.69E-06	5.28E-06	0	0.002	2.20E-04	1.18E-04	3.71E-05	0	0.001	5.79E-05	2.63E-05	multidrug	0.01036337
macrolide-lincosamide-streptogramin__macA	3.75E-05	7.24E-06	1.06E-04	3.86E-05	8.06E-05	2.10E-04	3.43E-05	1.65E-04	3.37E-04	3.43E-05	2.34E-04	0.002	8.20E-05	8.94E-05	1.83E-05	8.31E-05	2.79E-04	1.14E-04	1.86E-04	3.66E-05	1.53E-05	4.76E-05	1.64E-04	0	9.10E-06	1.08E-04	1.55E-05	5.37E-05	5.73E-05	1.12E-05	4.50E-05	3.07E-05	0	1.61E-04	1.57E-05	6.70E-06	1.08E-05	7.42E-05	0.001	1.05E-05	5.46E-05	5.37E-05	9.39E-05	2.44E-04	4.00E-05	0	8.84E-05	8.69E-06	9.19E-05	3.91E-05	4.70E-05	0	2.68E-04	8.26E-05	2.61E-05	5.86E-05	1.16E-04	1.86E-05	0	6.90E-05	4.00E-05	1.10E-05	3.53E-05	0	4.99E-05	2.46E-05	6.88E-05	9.07E-05	0	4.71E-05	8.50E-05	0	4.77E-04	0	2.15E-05	0	1.88E-05	0	4.43E-05	0	5.20E-05	0	0	0	0	macrolide-lincosamide-streptogramin	0.00847543
multidrug__mexT	1.90E-05	7.48E-06	1.70E-04	0	2.20E-05	2.77E-04	2.18E-05	0	4.84E-05	4.41E-05	3.18E-04	0.003	0	0	0	6.55E-05	9.22E-05	0	5.21E-05	0	1.60E-05	2.59E-05	0	0	0	7.15E-05	3.71E-05	2.85E-05	0	0	7.51E-05	9.48E-05	2.13E-05	0	9.70E-06	0	0	3.21E-05	1.05E-04	0	0	7.42E-05	2.95E-05	4.77E-04	1.22E-04	2.41E-05	3.72E-05	4.37E-05	2.59E-05	1.15E-05	4.28E-05	1.86E-05	1.69E-05	1.78E-04	2.02E-05	1.43E-04	0	0	4.35E-05	1.73E-05	9.69E-05	0	0	6.83E-05	0	1.30E-05	0.001	4.29E-04	8.16E-05	0	1.62E-05	0	0	0	0	1.66E-05	0	0	0	0	9.16E-05	1.06E-04	6.27E-05	0	0	multidrug	0.00796188
unclassified__truncated putative response regulator ArlR	3.23E-05	1.14E-04	2.30E-05	1.27E-04	0	2.78E-05	3.52E-05	7.72E-05	5.83E-05	0	0	0	0	0	0	6.53E-05	4.35E-05	0	0	1.56E-05	0	0	0	0	0	2.07E-04	6.28E-05	1.21E-04	1.03E-04	0	5.57E-05	0	3.00E-05	0	2.70E-05	0	0	5.28E-05	1.85E-04	1.47E-05	0	0	0	1.93E-05	0	6.15E-05	3.44E-04	8.89E-05	1.48E-04	0	3.26E-05	3.16E-05	1.58E-05	0	0	2.89E-05	0	4.47E-05	1.62E-05	0	4.07E-05	1.47E-04	0	1.35E-04	0	2.31E-05	0	3.33E-04	0.002	2.53E-04	2.10E-04	0	0	0	2.15E-05	0	0	0	2.97E-05	4.06E-05	0	0	3.10E-04	0.001	0.001	unclassified	0.0078533
multidrug__TolC	5.15E-06	2.60E-05	2.08E-04	1.43E-05	1.86E-05	6.46E-05	0	1.55E-04	0.001	5.03E-05	5.76E-05	4.85E-04	4.07E-05	1.70E-05	5.86E-05	0	2.76E-05	2.57E-05	3.94E-05	1.61E-05	1.50E-05	1.91E-05	0	0	6.93E-06	0	0	4.88E-05	2.62E-05	0	2.18E-05	2.09E-04	2.87E-05	5.29E-05	0	0	0	0	0	0	3.32E-05	6.29E-06	0	0	1.77E-05	0	0	1.15E-05	9.52E-06	1.61E-04	0	1.64E-05	2.50E-04	6.32E-05	0.001	2.15E-05	1.14E-04	6.80E-05	0.002	3.36E-04	2.41E-05	0	1.80E-04	2.95E-04	0.001	1.68E-05	2.44E-05	4.22E-05	4.51E-05	1.17E-04	0	0	0	0	2.34E-05	0	4.66E-05	0	0	0	2.67E-05	7.96E-05	0	0	0	multidrug	0.00876729
tetracycline__tetX2	0	0	0	0	0	0	0	0	0	1.21E-05	0	0	0	0	0	0	0	0	0.004	6.33E-05	0	0	0.001	0.001	3.83E-05	0	0	0	1.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12E-05	0	3.46E-05	0	0	0	0	0	6.43E-05	0	0	0	0	3.18E-05	2.47E-05	0	0	0	0	1.46E-05	0	0	0	0	0	0	0	1.76E-05	0.001	3.44E-05	0	0	0	0	0	0	0	0	0	0	tetracycline	0.007366
macrolide-lincosamide-streptogramin__ermF	0	0	1.39E-05	0	7.26E-06	0	0	0	5.55E-05	0	0	0	0	8.19E-05	0	0	0	1.60E-04	3.83E-05	0	5.09E-05	0	0	0.006	3.82E-04	0	0	0	2.28E-05	0	0	0	0	0	0	1.03E-04	1.17E-04	0	0	0	0	0	0	0	0	0	0	3.88E-05	3.78E-05	0	6.43E-05	6.12E-05	0	0	4.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75E-05	0	2.11E-05	0.001	3.86E-05	0	0	0	0	0	0	0	0	0	8.50E-05	macrolide-lincosamide-streptogramin	0.00846576
aminoglycoside__aac(3)-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66E-05	0	0	0	0	0	0	0.004	2.19E-04	0	0	0	0	1.02E-04	0	0	0	0	0	0	0	0	0	1.99E-05	0	0	0	0	0.003	aminoglycoside	0.0073975
aminoglycoside__ant(2'')-I	0	0	0	0	0	0	0	2.12E-05	0	0	0	0	0	6.73E-05	2.22E-04	0	0	1.84E-04	1.69E-04	0	1.44E-05	0	0	2.19E-05	6.43E-05	0	1.65E-05	0	0	0	0	0	0	0	0	0	0	0	1.16E-04	0	0	0	3.59E-05	2.16E-05	1.45E-05	1.23E-05	1.61E-05	0	1.18E-05	0	9.75E-06	1.12E-05	0	0	1.44E-05	0	0	0	0	1.15E-04	0	0	2.99E-05	0	1.54E-05	0	0	2.17E-05	0	1.84E-05	3.61E-05	0	0.005	4.65E-04	1.62E-04	0	3.91E-05	3.32E-05	1.54E-05	6.72E-05	0	0	5.46E-05	0	0	aminoglycoside	0.00711715
aminoglycoside__aac(6')-II	4.47E-05	6.98E-05	4.14E-05	0	2.64E-05	4.86E-05	0	1.70E-04	0	2.60E-05	0	3.58E-05	0.001	6.87E-05	2.82E-05	5.51E-05	2.71E-05	1.32E-04	1.39E-04	0.001	2.80E-05	0	1.19E-04	2.92E-05	1.54E-04	3.75E-05	1.12E-04	2.50E-04	2.45E-05	0	0	6.02E-05	8.92E-05	0	0	0	0	1.89E-04	1.13E-04	0	0	0	0	0.001	3.33E-05	7.94E-05	4.09E-05	5.66E-05	7.29E-05	0	0	0	2.19E-05	2.21E-05	0	1.25E-04	4.96E-05	3.28E-04	0	2.88E-05	7.77E-05	0	2.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-04	6.17E-05	0	0	0	4.38E-05	0	0	0	5.17E-05	aminoglycoside	0.0063379
beta-lactam__OXA-60	0	2.88E-05	1.46E-05	1.65E-05	0	8.18E-05	3.31E-04	7.35E-05	0	0	0	1.99E-04	1.08E-04	0	0	0	2.61E-05	0	0	0	0	9.13E-05	0	0	0	4.09E-05	2.50E-04	1.54E-04	0.001	0	2.10E-04	3.47E-04	2.49E-04	1.38E-05	0	5.48E-05	1.41E-04	1.27E-04	0	0	8.26E-05	4.11E-04	0	0	0	0	4.43E-04	1.48E-04	3.64E-05	8.07E-05	2.03E-04	3.90E-04	7.96E-05	0	0	1.24E-05	2.13E-04	2.63E-05	0	0	0	0	0	0	0	1.58E-05	1.83E-04	0	0	0	0	0	0	0	0	7.54E-05	6.35E-05	1.01E-04	0	0	0	0	0	0	0	beta-lactam	0.0061228
multidrug__emrE	1.70E-04	1.52E-04	4.47E-05	2.84E-05	9.50E-05	1.44E-04	3.84E-05	0	2.32E-05	0	4.89E-05	0	3.98E-05	0	1.49E-04	3.49E-05	6.38E-05	0	3.70E-05	2.25E-04	1.28E-04	0	0	0	3.89E-05	1.18E-04	2.34E-04	2.79E-05	0	1.47E-04	0	1.95E-04	1.28E-04	0	0	1.26E-04	0	0	0	0	1.58E-04	3.18E-05	0	0	0	1.97E-04	1.82E-04	1.10E-04	3.87E-05	1.07E-04	6.04E-05	9.80E-05	8.40E-05	2.72E-04	0	1.95E-04	4.58E-04	1.09E-04	0	3.26E-05	2.31E-04	6.72E-05	0	0	0	0	0	8.36E-05	3.76E-05	3.99E-05	2.30E-05	0	0	0	0	6.98E-05	6.87E-05	0	0	0	1.17E-04	0	0	3.20E-05	0	multidrug	0.0053402
aminoglycoside__aph(3'')-I	8.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.29E-05	5.18E-05	0	0	0	1.62E-04	0	0	5.08E-05	0.005	0	0	0	0	0	6.36E-05	0	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	5.07E-05	0	0	0	0	0	3.97E-05	0	0	0	3.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.44E-05	1.30E-04	0	0	5.32E-05	0	0	0	0	0	1.25E-04	0	0	1.74E-04	0	0	1.73E-04	aminoglycoside	0.00622504
multidrug__mdfA	0	5.50E-06	9.16E-05	1.71E-05	2.55E-05	1.03E-04	0	2.70E-05	3.37E-04	3.53E-05	1.61E-05	0.002	2.46E-05	4.55E-05	6.72E-05	2.58E-05	1.56E-04	0	1.29E-04	1.80E-05	5.70E-05	6.88E-05	0	0	0	4.75E-05	8.34E-06	9.95E-06	1.05E-05	0	1.18E-04	4.99E-05	0	5.50E-05	0	0	0	0	0	0	0	0	0	1.39E-04	9.52E-06	0	2.98E-05	0	0	4.90E-05	0	3.12E-05	3.39E-04	0	1.31E-04	0	4.91E-05	3.50E-05	4.93E-04	8.38E-05	0	2.21E-05	0	6.39E-05	2.35E-04	0	0	0	0	4.81E-05	5.96E-05	0	0	0	0	0	1.10E-04	0	0	0	0	2.08E-05	0	0	0	multidrug	0.00549811
